Name,SUBDIVISION,YEAR,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec
ROW162,Arunachal Pradesh,1968,2138.9,95.6,560.7,1385.9,96.7
ROW163,Arunachal Pradesh,1969,1877.8,29.2,363.1,1392.7,92.8
ROW164,Arunachal Pradesh,1970,1973.4,128,379.6,1320.3,145.5
ROW165,Arunachal Pradesh,1971,2184.6,123.8,391.3,1359.3,310.2
ROW166,Arunachal Pradesh,1972,2281.3,153.4,639.3,1357.9,130.7
ROW167,Arunachal Pradesh,1973,2457.6,283.5,554.1,1385.5,234.5
ROW168,Arunachal Pradesh,1974,3064,226.3,648.7,2023.6,165.4
ROW169,Arunachal Pradesh,1975,2213.4,94.2,454.8,1177.7,486.7
ROW170,Arunachal Pradesh,1976,2419.6,121.8,608,1416.6,273.2
ROW171,Arunachal Pradesh,1977,3774.4,204.7,1187.3,1950.2,432.2
ROW172,Arunachal Pradesh,1978,2531,119.3,712.6,1417.5,281.6
ROW173,Arunachal Pradesh,1979,2773.7,129,507.3,1619.2,518.2
ROW174,Arunachal Pradesh,1980,3215.4,196,868.9,1957.1,193.4
ROW175,Arunachal Pradesh,1981,2790.8,229.2,737.6,1667.4,156.6
ROW176,Arunachal Pradesh,1982,2779.4,106.8,727.9,1746.4,198.3
ROW177,Arunachal Pradesh,1983,3335.1,236.5,870.7,1980.5,247.4
ROW178,Arunachal Pradesh,1984,3278.1,140.9,1004.9,1853,279.3
ROW179,Arunachal Pradesh,1985,3266.4,135.1,948.2,1992.3,190.8
ROW180,Arunachal Pradesh,1986,2495.6,109.4,559.9,1599.1,227.2
ROW181,Arunachal Pradesh,1987,3433.3,76.2,730.5,2461.8,164.8
ROW182,Arunachal Pradesh,1988,4155.4,169.2,1065.5,2457,463.7
ROW183,Arunachal Pradesh,1989,3281.7,224.5,721.3,1956.7,379.2
ROW184,Arunachal Pradesh,1990,3604.1,167.2,805.1,2369.5,262.3
ROW185,Arunachal Pradesh,1991,3434.5,110.9,727.7,2303.9,292
ROW186,Arunachal Pradesh,1992,2706.8,162.1,620.2,1702.6,221.9
ROW187,Arunachal Pradesh,1993,3348.9,221.1,673.3,2203.7,250.8
ROW188,Arunachal Pradesh,1994,2287.3,120.8,830.3,1154.3,181.9
ROW189,Arunachal Pradesh,1995,3068.8,100.5,647,2155.3,166
ROW190,Arunachal Pradesh,1996,2520.6,91.9,733.2,1472.5,223
ROW191,Arunachal Pradesh,1997,2274.9,94.7,465.8,1583.7,130.7
